epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,1045.42,0.69105,0.62475,0.886,0.92651,0.96987,0.97654,0.7931,0.65591,0.51797,0.84286,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675
49,1066.01,0.65974,0.58973,0.87029,0.92624,0.9661,0.95665,0.7658,0.67978,0.53527,0.84782,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
50,1087.86,0.62491,0.59275,0.86012,0.90383,0.9641,0.95767,0.7887,0.67885,0.49286,0.83314,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725
51,1108.74,0.6176,0.59615,0.87062,0.91531,0.92308,0.96121,0.77617,0.70189,0.54741,0.83387,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
52,1131.78,0.60855,0.55557,0.85479,0.9233,0.92604,0.95133,0.76343,0.72874,0.55566,0.83781,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775
53,1155.17,0.6243,0.5785,0.85929,0.92552,0.95598,0.9633,0.77585,0.70003,0.52235,0.83031,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
54,1176.83,0.64659,0.59007,0.87375,0.92806,0.99248,0.97061,0.79731,0.70257,0.52635,0.83123,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825
55,1199.34,0.60271,0.57502,0.85152,0.92712,0.97869,0.97237,0.78217,0.71135,0.51578,0.83286,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
56,1220.29,0.60458,0.54753,0.85964,0.92666,0.97195,0.97266,0.79325,0.70112,0.51858,0.83142,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875
57,1242.41,0.61069,0.54781,0.86634,0.92491,0.94747,0.97159,0.78052,0.6602,0.49574,0.82526,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
58,1262.84,0.60274,0.55686,0.84903,0.89998,0.92308,0.97009,0.78845,0.68765,0.52356,0.82906,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925
59,1285.56,0.61546,0.55447,0.85513,0.91697,0.92308,0.9742,0.80655,0.64491,0.52893,0.82675,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
60,1306.94,0.58116,0.52203,0.85468,0.9472,0.92012,0.97463,0.80649,0.65048,0.48989,0.82439,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975
61,1328.41,0.58287,0.53115,0.86558,0.92519,0.95143,0.9814,0.81916,0.6527,0.46147,0.82648,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
62,1349.65,0.59217,0.5482,0.86697,0.9473,0.92182,0.98273,0.81266,0.67543,0.50988,0.83045,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025
63,1371.89,0.59396,0.54636,0.85933,0.94547,0.92308,0.97642,0.7854,0.67399,0.50785,0.834,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
64,1393.99,0.56164,0.53744,0.86593,0.94069,0.92308,0.9666,0.77392,0.67009,0.51003,0.83355,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075
